Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_5V","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",231.2500,-80.7500,180.0000,top
"D2","LED_9V","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",231.2500,-79.2500,180.0000,top
"D3","LED_12V","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",231.2500,-77.7500,180.0000,top
"D4","LED_40%","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",231.2500,-82.2500,180.0000,top
"D5","LED_20%","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",231.2500,-83.7500,180.0000,top
"D6","LED_0%","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",231.2500,-85.2500,180.0000,top
"J1","Mirco USB","USB_Micro-B_Wuerth_629105150521_CircularHoles",230.2500,-70.5000,90.0000,top
